id,design_code,name,category,diameter,ring_size,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,plain_or_pattern,diamond_weight,cz_weight
308,NCF0111,,NTT,,10,,,1.68,1.4,,Plain,0.24,
309,NCF0114,,NTT,,10,,,1.66,1.39,,Plain,0,0
310,NCF0117,,NTT,,10,,,1.52,1.27,,Plain,0.26,
311,NCF0118,,NTT,,12,,,2.62,2.19,,Plain,0.24,
312,NCF0119,,NTT,,10,,,1.37,1.14,,Plain,0.34,
313,NCF0120,,NTT,,12,,,1.63,1.36,,Plain,0.24,
314,NCF0121,,NTT,,10,,,1.76,1.47,,Plain,0.45,
315,NCF0122,,NTT,,10,,,1.87,1.56,,Plain,0.6,
316,NCF0124,,NTT,,10,,,1.6,1.33,,Plain,0,0
317,NCF0125,,NTT,,10,,,4.72,3.94,,Plain,0.5,
318,NCF0126,,NTT,,10,,,2.72,2.27,,Plain,0.36,
319,NCF0127,,NTT,,10,,,1.93,1.61,,Plain,0.39,
320,NCF0128,,NTT,,10,,,1.31,1.1,,Plain,0.23,
321,NCF0129,,NTT,,10,,,0.98,0.82,,Plain,0.21,
322,NCF0131,,NTT,,10,,,1.33,1.11,,Plain,0.25,
323,NCF0132,,NTT,,10,,,1.92,1.61,,Plain,0.49,
324,NCF0133,,NTT,,10,,,3.33,2.79,,Plain,0.32,
325,NCF0134,,NTT,,10,,,2.7,2.26,,Plain,0.23,
326,NCF0135,,NTT,,10,,,2.86,2.39,,Pattern,0.35,
327,NCF0136,,NTT,,10,,,2.47,2.06,,Plain,0.33,
328,NCF0138,,NTT,,10,,,3.6,3.01,,Plain,0.78,
329,NCF0139,,NTT,,10,,,1.89,1.58,,Plain,0,0
330,NCF0140,,NTT,,15,,,2.59,2.16,,Plain,0,0
331,NCF0141,,NTT,,11,,,3.42,3.19,,Plain,0.59,
332,NCF0142,,NTT,,11,,,2.06,1.92,,Plain,0.39,
333,NCF0143,,NTT,,11,,,1.63,1.52,,Plain,0.42,
334,NCF1002,,NCM/NCF,,11,,,2.42,2.22,3.2,Pattern,0.005,
335,NCF1003,,NCM/NCF,,11,,,3.56,3.27,4.7,Pattern,0.005,
336,NCF1004,,NCM/NCF,,11,,,1.83,1.53,,Pattern,0,0
337,NCF1005,,NCM/NCF,,16.5,,,3.27,3.05,,Pattern,,
338,NCF1006,,NCM/NCF,,10.5,,,2.2,1.84,,Pattern,0,0
339,NCF1007,,NCM/NCF,,10,,,5.58,4.66,,Plain,0,0
340,NCF1008,,NCM/NCF,,9,,,3.74,3.12,,Pattern,0,0
341,NCF1009,,NCM/NCF,,8,,,1.97,1.81,2.61,Pattern,,
342,NCF1010,,NCM/NCF,,10,,,2.8,2.34,,Plain,0,0
343,NCF1011,,NCM/NCF,,10.5,,,4.22,3.94,,Pattern,0.03,
344,NCF1012,,NCM/NCF,,11,,,3.66,3.36,4.83,Pattern,0,
345,NCF1013,,NCM/NCF,,10,,,3.06,2.81,4.04,Plain,0.022,
346,NCF1014,,NCM/NCF,,8,,,2.6,2.17,,Plain,0,0
347,NCF1015,,NCM/NCF,,8,,,3.19,2.67,,Pattern,0,0
348,NCF1016,,NCM/NCF,,8,,,3.14,2.62,,Pattern,0,0
349,NCF1017,,NCM/NCF,,8,,,1.67,1.39,,Plain,0,0
350,NCF1018,,NCM/NCF,,9,,,2.45,2.25,3.23,Pattern,0.008,
351,NCF1019,,NCM/NCF,,12,,,3.58,2.99,,Pattern,0,0
352,NCF1020,,NCM/NCF,,8,,,2.57,2.14,,Plain,0.01,
353,NCF1021,,NCM/NCF,,8,,,3.17,2.91,4.18,Pattern,,
354,NCF1022,,NCM/NCF,,8,,,2.99,2.75,3.95,Pattern,0.049,
355,NCF1023,,NCM/NCF,,8,,,2.54,2.12,,Pattern,0,0
356,NCF1024,,NCM/NCF,,10,,,1.99,1.67,,Plain,0.006,
357,NCF1025,,NCM/NCF,,11,,,4.2,3.85,5.54,Pattern,,
358,NCF1027,,NCM/NCF,,11,,,4.95,4.54,6.53,Pattern,0.09,
359,NCF1028,,NCM/NCF,,11,,,2.62,2.19,,Plain,0.02,
360,NCF1033,,NCM/NCF,,9,,,3.18,2.92,4.2,Plain,0.06,
424,NCF2055,,NCM/NCF,,11,,,4.68,4.37,,Pattern,0.18,
425,NCF2058,,NCM/NCF,,11.5,,,5.8,5.49,,Pattern,0.24,
430,NCF2066,,NCM/NCF,,12,,,3.2,3.14,,Pattern,0.01,
431,NCF2070,,NCM/NCF,,12,,,4.55,4.46,,Plain,0.01,
695,NCM0018,,NCM/NCF,,16,,,3.91,3.65,,Pattern,0.12,
696,NCM0022,,NCM/NCF,,16,,,5.65,5.27,,Pattern,0.12,
698,NCM0027,,NCM/NCF,,13,,,6.1,5.69,,Pattern,0.06,
699,NCM0029,,NCM/NCF,,15,,,4.15,3.87,5.56,Plain,0,
369,NCF1044,GOLDEN PROMISE,NCM/NCF,,11,,,3.5,3.16,4.55,Pattern,0.01,
370,NCF1046,GOLDEN PROMISE,NCM/NCF,,11,,,3.73,3.43,4.92,Pattern,0.02,
371,NCF1047,GOLDEN PROMISE,NCM/NCF,,10,,,5.61,4.59,,Pattern,,
372,NCF1048,GOLDEN PROMISE,NCM/NCF,,10,,,5,4.67,6.71,Pattern,,
373,NCF2001,,NCM/NCF,,8,,,3.39,3.11,4.47,Plain,0.018,
374,NCF2002,,NCM/NCF,,9,,,5.19,4.34,,Plain,0.025,
375,NCF2003,,NCM/NCF,,11,,,6.5,5.96,8.58,Plain,0.04,
376,NCF2004,,NCM/NCF,,12,,,3.87,3.24,,Pattern,0.037,
377,NCF2005,,NCM/NCF,,12,,,5.46,5.01,7.2,Plain,0.12,
378,NCF2006,,NCM/NCF,,10,,,4.33,3.62,,Plain,0.11,
379,NCF2007,,NCM/NCF,,11,,,4.14,3.86,5.5,Plain,0.45,
380,NCF2008,,NCM/NCF,,10,,,2.84,2.61,3.75,Plain,0.09,
381,NCF2009,,NCM/NCF,,9.5,,,2.95,2.7,3.89,Plain,0.37,
382,NCF2010,,NCM/NCF,,11,,,3.28,3.01,4.33,Pattern,0.05,
383,NCF2011,,NCM/NCF,,9,,,3.44,3.37,4.84,Plain,0.06,
384,NCF2012,,NCM/NCF,,11,,,4.54,4.17,5.99,Pattern,0.02,
385,NCF2013,,NCM/NCF,,10,,,6.43,5.91,8.49,Plain,0.06,
386,NCF2014,,NCM/NCF,,8,,,6.26,5.75,8.27,Plain,0.1,
387,NCF2015,,NCM/NCF,,9.5,,,4.61,4.23,6.08,Plain,0.25,
388,NCF2016,,NCM/NCF,,10,,,4.31,3.6,,Plain,0.07,
389,NCF2017,,NCM/NCF,,10,,,3.97,3.32,,Pattern,0.25,
390,NCF2018,,NCM/NCF,,8,,,5.01,4.6,6.61,Plain,0.15,
391,NCF2019,,NCM/NCF,,10,,,4.05,3.39,,Plain,0.04,
392,NCF2020,,NCM/NCF,,10,,,4.1,3.42,,Plain,0.03,
393,NCF2021,,NCM/NCF,,10,,,3.69,3.08,,Plain,0.46,
394,NCF2022,,NCM/NCF,,10,,,4.57,3.82,,Plain,0.17,
395,NCF2023,,NCM/NCF,,10,,,3.42,2.86,,Plain,0.03,
396,NCF2024,,NCM/NCF,,10,,,4.49,3.75,,Plain,0.18,
397,NCF2025,,NCM/NCF,,6,,,4.28,3.58,,Pattern,0.032,
398,NCF2026,,NCM/NCF,,10,,,8.4,7.02,,Plain,0.6,
399,NCF2027,,NCM/NCF,,9.5,,,3.75,3.44,4.95,Plain,0.19,
400,NCF2028,,NCM/NCF,,10,,,5.13,4.29,,Plain,0.45,
401,NCF2029,,NCM/NCF,,8,,,4.11,3.77,5.42,Plain,0.1,
402,NCF2030,,NCM/NCF,,10,,,5.6,4.68,,Plain,0.37,
403,NCF2031,,NCM/NCF,,11,,,3.82,3.19,,Plain,0.11,
404,NCF2032,,NCM/NCF,,10,,,4.86,4.06,,Plain,0.06,
405,NCF2033,,NCM/NCF,,8,,,6.36,5.84,8.39,Plain,0.31,
406,NCF2034,,NCM/NCF,,14,,,5.09,4.25,,Plain,0.03,
407,NCF2035,,NCM/NCF,,8,,,2.96,2.71,3.9,Plain,0.02,
408,NCF2036,,NCM/NCF,,14,,,3.96,3.31,,Pattern,0.026,
409,NCF2037,,NCM/NCF,,9,,,3.04,2.79,4.01,Plain,0.03,
410,NCF2038,,NCM/NCF,,8,,,3.38,3.1,4.46,Plain,0.18,
411,NCF2039,,NCM/NCF,,9,,,3.19,2.67,,Plain,0.16,
412,"NCF2039
",,NCM/NCF,,10,,,3.99,3.66,5.27,Plain,0.16,
413,NCF2040,,NCM/NCF,,11,,,6.41,4.85,4.46,Pattern,0.07,
414,NCF2041,,NCM/NCF,,9.5,,,3.23,2.96,4.26,Pattern,0.07,
415,NCF2042,,NCM/NCF,,8,,,3.79,3.17,,Plain,0.176,
416,NCF2043,,NCM/NCF,,10,,,2.43,2.03,,Plain,0.04,
417,NCF2044,,NCM/NCF,,10,,,3.37,2.82,,Pattern,0.049,
418,NCF2045,,NCM/NCF,,10,,,3.93,3.28,,Plain,0.07,
419,NCF2047,,NCM/NCF,,10,,,2.74,2.29,,Plain,0.043,
420,NCF2048,,NCM/NCF,,9,,,4.19,3.5,,Plain,0.018,
421,NCF2049,,NCM/NCF,,10,,,2.53,2.12,,Plain,0.12,
422,NCF2053,,NCM/NCF,,12,,,5.77,5.3,7.61,Pattern,0.53,
423,NCF2054,,NCM/NCF,,10,,,4.21,3.52,,Plain,0.34,
700,NCM0036,,NCM/NCF,,19.5,,,4,3.68,,Pattern,0.15,
701,NCM0040,,NCM/NCF,,19,,,8.23,7.67,,Pattern,0.16,
426,NCF2059,,NCM/NCF,,11,,,3.94,3.62,5.21,Pattern,0.09,
427,NCF2061,,NCM/NCF,,11,,,4.75,3.97,,Plain,0.16,
428,NCF2062,,NCM/NCF,,10,,,3.6,3.31,4.76,Pattern,0.08,
429,NCF2065,,NCM/NCF,,10,,,5.17,4.32,,Pattern,0.015,
798,NCM2055,,NCM/NCF,,16,,,6.4,5.97,,Pattern,0,
799,NCM2058,,NCM/NCF,,14,,,7.6,7.14,,Pattern,0,
432,NCF2071,,NCM/NCF,,12,,,3.17,3.1,,Pattern,0.05,
433,"NCF2071
",,NCM/NCF,,9.8,,,3.32,3.05,4.37,Pattern,0.05,
434,NCF2079,,NCM/NCF,,12,,,6.21,5.79,,Pattern,0.15,
435,NCF2080,,NCM/NCF,,12,,,4.34,3.99,,Pattern,0.02,
436,NCF2081,,NCM/NCF,,11,,,3.8,3.55,,Pattern,0.08,
437,NCF2090,,NCM/NCF,,11,,,5.45,5.08,,Pattern,0.47,
804,NCM2066,,NCM/NCF,,19.5,,,5.75,5.28,,Pattern,0.02,
805,NCM2070,,NCM/NCF,,19.5,,,6.63,6.5,,Plain,0.01,
806,NCM2071,,NCM/NCF,,15,,,5.1,4.68,6.73,Pattern,0.02,
441,NCF3001,,NCM/NCF,,10,,,3.83,3.52,5.05,Plain,0.1,
442,NCF3002,,NCM/NCF,,7,Round,4.1,3.44,2.87,,Plain,0.24,
443,NCF3003,,NCM/NCF,,11,Round,3.6,5.51,4.69,6.74,Plain,0.24,
444,NCF3004,,NCM/NCF,,8,,,5.29,4.86,6.98,Pattern,0.05,
445,NCF3005,,NCM/NCF,,8,Round,4.1,5.42,4.97,7.15,Pattern,0.18,
446,NCF3006,,NCM/NCF,,9,Round,5.4,3.89,3.57,5.13,Plain,0.06,
447,NCF3007,,NCM/NCF,,10,Round,4.5,3.91,3.27,,Plain,0,0
448,NCF3008,,NCM/NCF,,10,,,4.51,3.77,,Pattern,0.17,
449,NCF3009,,NCM/NCF,,10,,,4.83,4.44,6.38,Plain,0.28,
450,NCF3010,,NCM/NCF,,9,Round,3.6,5.14,4.3,,Plain,0.08,
451,"NCF3010
",,NCM/NCF,,9,,3.6,5.59,5.14,7.39,Plain,0.26,
452,NCF3011,,NCM/NCF,,10,Round,3.6,4.11,3.44,,Pattern,0.16,
453,NCF3012,,NCM/NCF,,9,Round,3.6,4.5,4.13,5.94,Plain,0.09,
454,NCF3013,,NCM/NCF,,10,,,6.94,5.8,,Pattern,0.12,
455,NCF3015,,NCM/NCF,,11,,,4.24,3.9,5.6,Plain,0.17,
456,NCF3024,,NCM/NCF,,11.5,,,7.04,6.57,,Plain,0.26,
457,NCF3026,,NCM/NCF,,8,,,5.05,4.64,6.67,Pattern,0.31,
458,NCF3030,,NCM/NCF,,11,,,4.61,4.3,,Plain,0.07,
459,NCF5001,,NCM/NCF,,11,,,5.35,4.91,7.06,Plain,0.21,
460,NCF5002,,NCM/NCF,,10,,,6.5,5.97,8.58,Pattern,0,
461,NCF5003,,NCM/NCF,,9,,,4.83,4.43,6.37,Pattern,0.09,
462,NCF5004,,NCM/NCF,,10,,,3.41,3.13,4.5,Pattern,0.82,
463,NCF5005,,NCM/NCF,,10,,,4.5,3.76,,Pattern,1.01,
464,NCF5006,,NCM/NCF,,9,,,5.21,4.36,,Plain,0.09,
465,NCF5007,,NCM/NCF,,10,,,5.62,4.26,3.91,Plain,0.16,
466,NCF5008,,NCM/NCF,,8,,,3.34,3.06,4.4,Plain,0.14,
467,NCF5009,,NCM/NCF,,12,,,8.7,7.27,,Plain,0.24,
,NCF7001,,NCM/NCF,,,,,,,,,,
,NCF7002,,NCM/NCF,,,,,,,,,,
,NCF7003,,NCM/NCF,,,,,,,,,,
,NCF7004,,NCM/NCF,,,,,,,,,,
,NCF7005,,NCM/NCF,,,,,,,,,,
,NCF7006,,NCM/NCF,,,,,,,,,,
,NCF7007,,NCM/NCF,,,,,,,,,,
,NCF7008,,NCM/NCF,,,,,,,,,,
,NCF7009,,NCM/NCF,,,,,,,,,,
,NCF7010,,NCM/NCF,,,,,,,,,,
468,NCF8001,,NCM/NCF,,11,,,3.79,3.48,5,Pattern,0.33,
469,NCF8002,,NCM/NCF,,7,,,1.28,1.18,1.69,Pattern,0.35,
470,NCF8003,,NCM/NCF,,10,,,2.7,2.48,3.57,Plain,0.19,
471,NCF8010,,NCM/NCF,,11,,,2.32,2.16,,Pattern,0.16,
472,NCF9001,,NCM/NCF,,7,,,5.53,5.08,7.3,Pattern,0.09,
473,NCF9002,,NCM/NCF,,10,,,3.56,2.98,,Plain,0.19,
474,NCF9003,,NCM/NCF,,9,,,4.52,4.15,5.97,Pattern,0.28,
475,NCF9004,,NCM/NCF,,10,,,5.2,4.78,6.87,Plain,0.2,
476,NCF9005,,NCM/NCF,,10,,,4.48,4.1,5.89,Pattern,0.2,
477,NCF9006,,NCM/NCF,,9,,,4.36,3.64,,Plain,0.26,
478,NCF9007,,NCM/NCF,,9,,,3.57,3.28,4.71,Pattern,0.25,
479,NCF9009,,NCM/NCF,,10,,,3.79,3.48,5,Pattern,0.01,
480,NCF9010,,NCM/NCF,,9,,,3.45,3.38,4.86,Pattern,0.48,
481,NCF9011,,NCM/NCF,,12,,,4.98,4.64,,Pattern,0.04,
482,NCH0001,,NCH,,12,Round,5.4,3.99,3.33,,Plain,0,0
483,NCH0037,Nhẫn kim cương Love of Swan,NCH,,11,Round,4.5,2.63,2.2,,Pattern,0.25,
484,NCH1003,,NCH,,11,Round,5.4,3.36,3.08,4.43,Plain,0.07,
485,NCH1004,,NCH,,12,Round,6.3,3.74,3.43,4.93,Pattern,0.18,
486,NCH1005,,NCH,,12,Round,5.4,3.88,3.56,5.12,Plain,0.02,
487,NCH1007,,NCH,,12,Round,5.4,3.25,2.98,4.29,Plain,0.11,
488,NCH1010,,NCH,,10,Round,5.4,2.93,2.69,3.87,Plain,0.08,
489,NCH1014,,NCH,,13,Round,6.49,3.06,2.56,,Plain,0.06,
490,NCH1015,,NCH,,8,Round,5,3.28,2.74,,Pattern,0.08,
491,NCH1017,,NCH,,12,Round,5.4,4.1,3,,Pattern,0.05,
492,NCH1018,,NCH,,10,Round,5.4,2.56,2.28,,Plain,0.23,
493,NCH1019,,NCH,,11,Round,5.4,4.38,4.29,,Plain,0.4,
494,NCH1020,,NCH,,12,Round,5.4,3.36,3.14,,Pattern,0.4,
495,NCH1021,,NCH,,10,Round,5.4,3.23,3.01,4.11,Pattern,0.19,
496,NCH1022,LOVE DREAM,NCH,,10,Round,,3.2,2.94,,Plain,0.08,
497,NCH1101,,NCH,,11,Round,5.4,3.14,2.93,,Plain,,
498,NCH1102,,NCH,,11,Round,5.4,3,2.8,,Plain,,
499,NCH1103,,NCH,,11,Round,5.4,2.74,2.51,3.61,Plain,,
500,NCH1104,,NCH,,12,Round,5.4,2.74,2.51,3.61,Plain,,
501,NCH1105,,NCH,,11,Round,5.4,3.48,3.19,4.59,Plain,,
502,NCH1202,,NCH,,10,Round,5.4,2.27,2.09,3,Plain,0.2,
503,NCH1203,,NCH,,11,Round,5.4,2.88,2.64,3.8,Plain,0.2,
504,NCH1204,,NCH,,11,Round,5.4,3.31,3.04,4.37,Plain,0.1,
,NCH1205,,NCH,,,,,,,,,,
505,NCH1206,,NCH,,11,Round,5.4,3.18,2.92,4.2,Plain,0.57,
506,NCH1301,Nhẫn Solitaire có vòng tag,NCH,,9,Round,6.3,2.74,2.51,,Plain,0,0
507,NCH1302,,NCH,,10,Round,5.4,2.43,2.23,3.12,Pattern,0,
508,NCH1303,,NCH,,9.5,Round,5.4,2.93,2.69,3.87,Plain,0.041,
509,NCH1304,,NCH,,10,Round,4.5,2.76,2.53,3.64,Plain,0.32,
510,NCH1305,Nhẫn Solitaire vòng cổ cách điệu,NCH,,10,Round,5.4,3.66,3.36,,Plain,0.16,
511,NCH1306,Nhẫn Solitaire vòng cổ cách điệu,NCH,,9,Round,5.4,3.92,3.65,,Plain,0.09,
512,NCH1307,Nhẫn Solitaire Pave có nơ cổ,NCH,,10,Round,7.2,3.54,3.25,,Plain,0.37,
,NCH1308,,NCH,,,,,,,,,,
513,NCH1309,Nhẫn Solitaire Princess Cape,NCH,,12,Round,7.2,6.78,6.32,,Plain,0.41,
514,NCH1310,,NCH,,10,Round,5.4,3.1,2.85,4.09,Plain,0.04,
515,NCH1311,,NCH,,11,Round,5.4,3.79,3.53,,Plain,0.19,
516,NCH1312,,NCH,,10,Round,5.4,2.7,2.52,,Plain,0.12,
517,NCH1313,,NCH,,11,Round,5.4,5.3,4.87,,Pattern,0.027,
518,NCH1314,,NCH,,11,Round,5.4,3.58,3.29,,Pattern,0.033,
519,NCH1315,,NCH,,10,Round,5.4,3.16,2.9,4.17,Plain,0.016,
520,NCH1401,,NCH,,12,Round,5.4,3.02,2.77,3.99,Plain,,
521,NCH1402,,NCH,,11,Round,5.4,3.15,2.89,4.16,Plain,,
522,NCH1403,,NCH,,12,Round,5.4,3.35,3.08,4.43,Plain,,
523,NCH1404,Nhẫn Trellis pave 4 chấu,NCH,,10,Round,6.3,2.37,2.18,,Plain,0.28,
524,NCH1405,Nhẫn Trellis trơn 4 chấu cách điệu,NCH,,10,Round,5.4,3.04,2.79,,Plain,0,
525,NCH1406,Nhẫn Trellis pave 4 chấu cách điệu,NCH,,10,Round,5.4,3.04,2.79,,Plain,0.26,
526,NCH1407,,NCH,,10,Round,5.4,3.12,2.86,4.12,Plain,,
527,NCH1408,Nhẫn Trellis cách điệu,NCH,,10,Round,5.4,6.16,5.68,,Plain,0.36,
528,NCH1409,,NCH,,11,Round,5.4,3.57,3.28,4.72,Plain,0.003,
529,NCH1410,,NCH,,14,Round,5.4,4.38,4.08,,Plain,0.59,
530,NCH1411,,NCH,,11,Round,5.4,3.11,2.6,,Pattern,0.27,
531,NCH1412,,NCH,,12,Round,5.4,3.55,3.31,,Plain,0.47,
532,NCH1413,,NCH,,11,Round,5.4,2.63,2.2,,Plain,0.25,
533,NCH1414,,NCH,,10,Round,5.4,3.68,3.38,4.85,Plain,0.11,
534,NCH1415,,NCH,,10,Princess,5,4.1,3.43,,Pattern,0.22,
535,NCH1416,,NCH,,10,Round,5.4,2.75,2.53,3.63,Plain,0.08,
536,NCH1417,,NCH,,11,Round,5.4,2.57,2.36,3.4,Plain,,
537,NCH1418,,NCH,,11,,5.4,2.66,2.48,,Pattern,0.1,
538,NCH1419,,NCH,,13,Round,5.4,3.84,3.53,5.07,Plain,0.6,
539,NCH1420,,NCH,,12,Round,5.4,3.05,2.55,,Plain,0.446,
540,NCH1421,,NCH,,10,Round,5.4,2.86,2.39,,Plain,0.09,
541,NCH1422,LOVE DREAM,NCH,,11,Round,5.4,2.28,2.1,,Plain,0.11,
542,NCH1423,LOVE DREAM,NCH,,10,Round,5.4,2.46,2.41,,Plain,0.004,
543,NCH1424,LOVE DREAM,NCH,,10,Round,5.4,2.59,2.41,,Pattern,,
544,NCH1425,LOVE DREAM,NCH,,10,Round,5.4,2.59,2.42,,Plain,0.09,
545,NCH1426,LOVE DREAM,NCH,,11,Round,5.4,2.29,2.13,,Plain,0.012,
546,NCH1427,,NCH,,11,Round,5.4,2.61,2.39,3.44,Pattern,0.007,
547,NCH1501,,NCH,,12,Round,4.5,2.91,2.67,3.84,Plain,,
548,NCH1502,,NCH,,11,Round,5.4,2.91,2.72,,Pattern,,
549,NCH1503,,NCH,,10,Round,5.4,2.6,2.39,3.43,Plain,,
550,NCH1504,Nhẫn Cathedral 6 chấu có viền bi & đai pattern,NCH,,11,Round,5.4,3.38,3.11,,Pattern,0,
551,NCH1505,,NCH,,13,Round,5,3.41,3.18,4.58,Plain,0.23,
552,NCH1506,Nhẫn Cathedral đai hoa văn,NCH,,10,Round,5.4,3.66,3.36,,Pattern,0.22,
553,NCH1507,Nhẫn Cathedral đai tấm lớn,NCH,,11,Round,5.4,5.1,4.68,,Plain,0.45,
554,NCH1508,Nhẫn Cathedral hoa văn ở cổ,NCH,,10,Round,4.5,2.66,2.44,,Pattern,0,
,NCH1509,,NCH,,,,,,,,,,
555,NCH1510,Nhẫn Cathedral cách điệu,NCH,,11,Round,5.4,3.5,3.27,,Plain,0.33,
,NCH1511,,NCH,,,,,,,,,,
556,NCH1512,Nhẫn Cathedral cách điệu,NCH,,11,Round,5.4,4.99,4.66,,Plain,0.008,
557,NCH1513,,NCH,,12,Round,5.4,3.28,3.01,4.32,Plain,,
558,NCH1514,Nhẫn Cathedral Floral đai tấm,NCH,,10,Round,5.4,2.97,2.77,,Plain,0.1,
559,NCH1515,,NCH,,10,Round,5.4,3.38,3.1,4.46,Pattern,0.13,
560,NCH1601,Nhẫn Bridge Accent basic đai trơn,NCH,,11,Round,5.4,3.33,3.26,,Plain,0.03,
561,NCH1602,,NCH,,12,Round,5.4,3.11,2.86,4.11,Plain,0.025,
562,NCH1603,,NCH,,12,Round,5.4,2.79,2.56,3.68,Plain,0.25,
563,NCH1604,Nhẫn Bridge Accent cách điều bệ trái tim,NCH,,11,Round,5.4,3.37,3.14,,Plain,0.04,
564,NCH1605,Nhẫn Bridge Accent vintage,NCH,,11,Round,5.4,4.22,3.94,,Pattern,0.1,
565,NCH1606,Nhẫn Bridge Accent vintage,NCH,,11,Round,6.3,5.8,5.32,,Pattern,0.13,
566,NCH1607,Nhẫn Bridge Accent basic cách điệu,NCH,,11,Round,5.4,3.05,2.8,,Plain,0,
567,NCH1609,Nhẫn Bridge Accent cách điệu hoa sen,NCH,,11,Round,6.3,6.34,5.91,,Pattern,0.06,
568,NCH1610,Nhẫn Bridge Accent cách điệu,NCH,,11,Round,5.4,3.25,2.98,,Plain,0.03,
569,NCH1612,,NCH,,12,Round,5.4,5.47,5.02,7.22,Plain,0.39,
570,NCH1613,,NCH,,11,Round,5.4,3.54,3.3,,Pattern,0.35,
571,NCH1616,,NCH,,11,Round,5.4,3.67,3.37,4.85,Pattern,0.013,
572,NCH1617,,NCH,,10,Round,5.4,2.82,2.59,3.72,Pattern,0.12,
573,NCH1618,,NCH,,11,Round,5.4,2.28,2.13,3.06,Pattern,0.03,
574,NCH1701,,NCH,,12,Round,5.4,3.82,3.51,5.05,Plain,0.13,
575,NCH1702,Nhẫn Twiss 2 đai tấm,NCH,,11,Round,5.4,3.1,2.84,,Plain,0.43,
576,NCH1703,Nhẫn Twiss 2 đai liền,NCH,,11,Round,5.4,4.15,3.87,,Plain,0.07,
577,NCH1704,,NCH,,12,Round,4.5,2.93,2.69,3.87,Plain,0.35,
578,NCH1705,Nhẫn Twiss Bypass,NCH,,11,Round,5.4,3.85,3.54,,Plain,0.24,
579,NCH1706,Nhẫn Twiss Bypass 2 đai,NCH,,10,Round,5.4,4.96,4.56,,Plain,0.25,
580,NCH1709,,NCH,,11,Round,,3.32,3.05,4.38,Plain,0.14,
581,NCH1711,,NCH,,12,Round,5,3.61,3.37,,Pattern,0.21,
582,NCH1718,,NCH,,11,Round,5.4,3.06,2.55,,Plain,0.15,
583,NCH1719,,NCH,,10,Round,5.4,3.8,3.17,,Plain,0.15,
584,NCH1720,,NCH,,10,Round,5.4,4.19,3.91,,Pattern,0.37,
585,NCH1721,,NCH,,10,Round,5.4,3.75,3.14,,Pattern,0.19,
586,NCH1722,,NCH,,10,Round,6.3,2.65,2.43,,Plain,0.29,
587,NCH1723,,NCH,,12,Round,5.4,3.61,3.36,,Pattern,0.12,
588,NCH1724,,NCH,,12,Round,6.3,3.36,3.13,,Plain,0.32,
