ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height
1.0,BTA0007,Sweet Heart Cube,Bông tai,,,,,
2.0,BTA0008,Choco Bar ,Bông tai,,,,,
3.0,BTA0009,Choco Bar Earring With Round,Bông tai,,,,,
4.0,BTA0010,Choco Cube & Heart ,Bông tai,,,,,
5.0,BTA0018,,Bông tai,,,,,
6.0,BTA0019,,Bông tai,,,,,
7.0,BTA0020,Mini Teddy Huggie,Bông tai, , ,,,
8.0,BTA0021,Heart Candy,Bông tai, , ,,,
9.0,BTA0022,Hoàng Mai Chiêu Lộc,Bông tai,,,,,
10.0,BTA1101,,Bông tai,,,,,
11.0,BTA1102,,Bông tai,,,,,
12.0,BTA1103,,Bông tai,,,,,
13.0,BTA1104,,Bông tai,,,,,
14.0,BTA1105,,Bông tai,,,,,
15.0,BTA1106,,Bông tai,,,,,
16.0,BTA1107,,Bông tai,,,,,
17.0,BTA1108,,Bông tai,,,,,
18.0,BTA1109,,Bông tai,,,,,
19.0,BTA1110,,Bông tai,,,,,
20.0,BTA1111,,Bông tai,,,,,
21.0,BTA1112,,Bông tai,,,,,
22.0,BTA1113,,Bông tai,,,,,
23.0,BTA1114,,Bông tai,,,,,
24.0,BTA2101,,Bông tai,,,,,
25.0,BTA2102,,Bông tai,,,,,
26.0,BTA2103,,Bông tai,,,,,
27.0,BTA2104,,Bông tai,,,,,
28.0,BTA2105,,Bông tai,,,,,
29.0,BTA2106,,Bông tai,,,,,
30.0,BTA2107,,Bông tai,,,,,
31.0,BTA2108,,Bông tai,,,,,
32.0,BTA2109,,Bông tai,,,,,
33.0,BTA2110,,Bông tai,,,,,
34.0,BTA2111,,Bông tai,,,,,
35.0,BTA2112,,Bông tai,,,,,
36.0,BTA2113,,Bông tai,,,,,
37.0,BTA2114,,Bông tai,,,,,
38.0,BTA2115,,Bông tai,,,,,
39.0,BTA2116,,Bông tai,,,,,
40.0,BTA2117,,Bông tai,,,,,
41.0,BTA2118,,Bông tai,,,,,
42.0,BTA2119,,Bông tai,,,,,
43.0,BTA2120,,Bông tai,,,,,
44.0,BTA2121,,Bông tai,,,,,
45.0,BTA2122,,Bông tai,,,,,
46.0,BTA2123,,Bông tai,,,,,
47.0,BTA2124,,Bông tai,,,,,
48.0,BTA2125,,Bông tai,,,,,
49.0,BTA2126,,Bông tai,,,,,
50.0,BTA2127,,Bông tai,,,,,
51.0,BTA2128,,Bông tai,,,,,
52.0,BTA2130,,Bông tai,,,,,
53.0,BTA2131,,Bông tai,,,,,
54.0,BTA2132,,Bông tai,,,,,
55.0,BTA2134,,Bông tai,,,,,
56.0,BTA2135,Vintage Flower,Bông tai,,,,,
57.0,BTA2136,,Bông tai,,,,,
58.0,BTA2137,,Bông tai,,,,,
59.0,BTA2138,Square Petal,Bông tai,,,,,
60.0,BTA2139,,Bông tai,,,,,
61.0,BTA2140,,Bông tai,,,,,
62.0,BTA2141,,Bông tai,,,,,
63.0,BTA2142,,Bông tai,,,,,
64.0,BTA2143,,Bông tai,,,,,
65.0,BTA2144,,Bông tai,,,,,
66.0,BTA2145,,Bông tai,,,,,
67.0,BTA2146,Plumeria ,Bông tai,,,,,
68.0,BTA2147,,Bông tai,,,,,
69.0,BTA2148,,Bông tai,,,,,
70.0,BTA2149,Geometric Sunflower,Bông tai,,,,,
71.0,BTA2150,Lovely Button,Bông tai,,,,,
72.0,BTA2151,,Bông tai,,,,,
73.0,BTA2152,,Bông tai,,,,,
74.0,BTA2153,,Bông tai,,,,,
75.0,BTA2154,Vintage Start,Bông tai,,,,,
76.0,BTA2155,Double Halo Cushion,Bông tai,,,,,
77.0,BTA2156,Little Start,Bông tai,,,,,
78.0,BTA2157,Round & Baguette,Bông tai,,,,,
79.0,BTA2158,Marquise Halo,Bông tai,,,,,
80.0,BTA2159,,Bông tai,,,,,
81.0,BTA2160,,Bông tai,,,,,
82.0,BTA2161,,Bông tai,,,,,
83.0,BTA3101,,Bông tai,,,,,
84.0,BTA3102,,Bông tai,,,,,
85.0,BTA3104,,Bông tai,,,,,
86.0,BTA3105,,Bông tai,,,,,
87.0,BTA3106,,Bông tai,,,,,
88.0,BTA3107,,Bông tai,,,,,
89.0,BTA3108,,Bông tai,,,,,
90.0,BTA3109,,Bông tai,,,,,
91.0,BTA3110,,Bông tai,,,,,
92.0,BTA3111,,Bông tai,,,,,
93.0,BTA3122,,Bông tai,,,,,
94.0,BTA4101,,Bông tai,,,,,
95.0,BTA4102,,Bông tai,,,,,
96.0,BTA4103,,Bông tai,,,,,
97.0,BTA4104,,Bông tai,,,,,
98.0,BTA4105,,Bông tai,,,,,
99.0,BTA4106,,Bông tai,,,,,
100.0,BTA4107,,Bông tai,,,,,
101.0,BTA4111,,Bông tai,,,,,
102.0,BTA4112,,Bông tai,,,,,
103.0,BTA4114,,Bông tai,,,,,
104.0,BTA4115,,Bông tai,,,,,
105.0,BTA4116,,Bông tai,,,,,
106.0,BTA4117,,Bông tai,,,,,
107.0,BTA4119,,Bông tai,,,,,
108.0,BTA4121,,Bông tai,,,,,
109.0,BTA4122,,Bông tai,,,,,
110.0,BTA4123,,Bông tai,,,,,
111.0,BTA4124,,Bông tai,,,,,
112.0,BTA4125,,Bông tai,,,,,
113.0,BTA4126,,Bông tai,,,,,
114.0,BTA4127,,Bông tai,,,,,
115.0,BTA4128,,Bông tai,,,,,
116.0,BTA4131,Vintage Retangle,Bông tai,,,,,
117.0,BTA4132,Anne Queen'S Lace,Bông tai,,,,,
118.0,BTA5101,Anne Queen'S Lace,Bông tai,,,,,
119.0,BTA7001,,Bông tai,,,,,
120.0,BTA7002,,Bông tai,,,,,
121.0,BTA7003,,Bông tai,,,,,
122.0,BTA7004,,Bông tai,,,,,
123.0,BTA7005,,Bông tai,,,,,
124.0,BTA7006,,Bông tai,,,,,
125.0,BTA7007,The Armour,Bông tai,,,,,
126.0,BTA7008,,Bông tai,,,,,
127.0,BTA7009,,Bông tai,,,,,
128.0,BTA7010,,Bông tai,,,,,
129.0,BTA7011,,Bông tai,,,,,
130.0,BTA8101,,Bông tai,,,,,
131.0,BTA8102,,Bông tai,,,,,
132.0,BTA8103,,Bông tai,,,,,
133.0,BTA8104,,Bông tai,,,,,
134.0,BTA8105,,Bông tai,,,,,
135.0,BTA8106,,Bông tai,,,,,
136.0,BTA8107,,Bông tai,,,,,
137.0,BTA8108,,Bông tai,,,,,
138.0,BTA8109,,Bông tai,,,,,
139.0,BTA8110,,Bông tai,,,,,
140.0,BTA8111,,Bông tai,,,,,
141.0,BTA8112,,Bông tai,,,,,
142.0,BTA8113,,Bông tai,,,,,
143.0,BTA8114,,Bông tai,,,,,
144.0,BTA8115,,Bông tai,,,,,
145.0,BTA8116,,Bông tai,,,,,
146.0,BTA8117,Lavender Love,Bông tai,,,,,
147.0,BTA8118,,Bông tai,,,,,
148.0,BTA8122,,Bông tai,,,,,
149.0,BTA8124,,Bông tai,,,,,
150.0,BTA8125,,Bông tai,,,,,
151.0,BTA8126,,Bông tai,,,,,
152.0,BTA8127,Twisted Flower,Bông tai,,,,,
153.0,BTA8128,,Bông tai,,,,,
154.0,BTA8130,,Bông tai,,,,,
155.0,BTA8131,,Bông tai,,,,,
156.0,BTA8132,,Bông tai,,,,,
157.0,BTA8133,,Bông tai,,,,,
158.0,BTA8134,Snow Flower,Bông tai,,,,,
159.0,BTA8135,Truly,Bông tai,,,,,
160.0,BTA8136,Custom With Fancy Shape,Bông tai,,,,,
161.0,BTA8137,The Flower,Bông tai,,,,,
162.0,BTA8138,Stunning Flaze,Bông tai,,,,,
163.0,BTA8139,Autumn Leaves ,Bông tai,,,,,
164.0,BTA8140,Glorious Emerald ,Bông tai,,,,,
165.0,BTA8141,Emerald Shape & Half Maquise Halo,Bông tai,,,,,
166.0,BTA8142,Custom Cushion ,Bông tai,,,,,
167.0,BTA8143,Bowtie & Pear Cut,Bông tai,,,,,
168.0,BTA8144,Sweet Heart Earring,Bông tai,,,,,
169.0,BTA8145,Plumeria Custom ,Bông tai,,,,,
170.0,BTA8146,Plumeria Custom,Bông tai,,,,,
171.0,BTA8147,Rosie Heart,Bông tai, , ,,,
172.0,BTA8148,Heart Of Venus,Bông tai, , ,,,
173.0,BTA8149,Tender Heart,Bông tai, , ,,,
174.0,BTA8150,Dazzling Heart,Bông tai, , ,,,
175.0,BTA8151,Adorable Heart,Bông tai, , ,,,
176.0,BTA9001,,Bông tai,,,,,
177.0,BTA9002,,Bông tai,,,,,
178.0,BTA9003,,Bông tai,,,,,
179.0,CHS1017,,Nhẫn cầu hôn,,12,1.3,2.5,7.3
180.0,CHS1314,,Nhẫn cầu hôn,,10,1.6,2.1,7.8
181.0,CHS1504,,Nhẫn cầu hôn,,10,1.5,2.5,6.6
182.0,CHS1507,,Nhẫn cầu hôn,,11,1.4,3.0,6.8
183.0,CHS3001,,Nhẫn cầu hôn,,12,1.5,2.7,7.0
184.0,CHS3202,,Nhẫn cầu hôn,,11,1.3,2.5,6.8
185.0,CHS9910,,Nhẫn cầu hôn,,11,1.3,2.2,7.0
186.0,CHS9911,,Nhẫn cầu hôn,,11,1.3,2.5,8.3
187.0,CHS9920,,Nhẫn cầu hôn,,12,1.4,2.8,7.4
188.0,CHS9921,,Nhẫn cầu hôn,,12,1.4,2.2,7.9
189.0,DCA1111,Mắt xích tròn,Dây chuyền,,42-45,,,
190.0,DCA1112,Mắt xích tròn,Dây chuyền,,42-45,,,
191.0,DCA1122.42,Mắt xích tròn,Dây chuyền,,42,,,
192.0,DCA1122.45,Mắt xích tròn,Dây chuyền,,45,,,
193.0,DCA1312,Mắt xích tròn,Dây chuyền,,42-45,,,
194.0,DCA1322,Mắt xích tròn,Dây chuyền,,42-45,,,
195.0,DCA1332,Mắt xích tròn,Dây chuyền,,42-45,,,
196.0,DCA2311,Mắt xích hộp,Dây chuyền,,45,,,
197.0,DCA3113.42,Chuỗi sóng nước,Dây chuyền,,42,,,
198.0,DCA3113.45,Chuỗi sóng nước,Dây chuyền,,45,,,
199.0,DCA4311,Mắc tre,Dây chuyền,,42-45,,,
200.0,DCA5331,Mắt xích tròn,Dây chuyền,,42-45,,,
201.0,DCA6312,Mắt xích hộp,Dây chuyền,,42-45,,,
202.0,DCA6332,Mắt xích hộp,Dây chuyền,,42-45,,,
203.0,DCA7112.42,Khác,Dây chuyền,,42,,,
204.0,DCA7112.45,Khác,Dây chuyền,,45,,,
205.0,MDA0007,Choco Orange,Mặt dây chuyền,,,,,
206.0,MDA0008,Dry Orange,Mặt dây chuyền,,,,,
207.0,MDA0009,Heart Cube,Mặt dây chuyền,,,,,
208.0,MDA0010,,Mặt dây chuyền,,,,,
209.0,MDA0010,,Mặt dây chuyền,,,,,
210.0,MDA0010,,Mặt dây chuyền,,,,,
211.0,MDA0011,Sweet Cherry,Mặt dây chuyền,,,,,
212.0,MDA0012,,Mặt dây chuyền,,,,,
213.0,MDA0015,,Mặt dây chuyền,,,,,
214.0,MDA0016,Sweet Cherry,Mặt dây chuyền,,,,,
215.0,MDA0017,Nút Thắt Tường An ,Mặt dây chuyền,,,,,
216.0,MDA0020,Xuân Đào,Mặt dây chuyền,,,,,
217.0,MDA0021,Kim Xà Chiêu Phúc,Mặt dây,,,,,
218.0,MDA0022,Hoàng Mai Chiêu Lộc,Mặt dây,,,,,
219.0,MDA0024,Teddy Huggie,Mặt dây chuyền, , ,,,
220.0,MDA0025,Cheese Donut,Mặt dây chuyền, , ,,,
221.0,MDA0101,Piece Of Choco,Mặt dây chuyền,,,,,
222.0,MDA0102,Choco Heart,Mặt dây chuyền,,,,,
223.0,MDA0103,Choco Letter,Mặt dây chuyền,,,,,
224.0,MDA0104,Choco Pie,Mặt dây chuyền,,,,,
225.0,MDA0108,Cookie Bear,Mặt dây chuyền, , ,,,
226.0,MDA0109,Waffle Honey Cake,Mặt dây chuyền, , ,,,
227.0,MDA0110,Bear Candy,Mặt dây chuyền, , ,,,
228.0,MDA1101,,Mặt dây chuyền,,,,,
229.0,MDA1102,,Mặt dây chuyền,,,,,
230.0,MDA1103,,Mặt dây chuyền,,,,,
231.0,MDA1104,,Mặt dây chuyền,,,,,
232.0,MDA1105,,Mặt dây chuyền,,,,,
233.0,MDA1106,,Mặt dây chuyền,,,,,
234.0,MDA1107,,Mặt dây chuyền,,,,,
235.0,MDA1108,,Mặt dây chuyền,,,,,
236.0,MDA1109,,Mặt dây chuyền,,,,,
237.0,MDA1110,,Mặt dây chuyền,,,,,
238.0,MDA1111,,Mặt dây chuyền,,,,,
239.0,MDA1112,,Mặt dây chuyền,,,,,
240.0,MDA1113,,Mặt dây chuyền,,,,,
241.0,MDA2102,,Mặt dây chuyền,,,,,
242.0,MDA2103,,Mặt dây chuyền,,,,,
243.0,MDA2104,,Mặt dây chuyền,,,,,
244.0,MDA2105,,Mặt dây chuyền,,,,,
245.0,MDA2106,,Mặt dây chuyền,,,,,
246.0,MDA2107,,Mặt dây chuyền,,,,,
247.0,MDA2108,,Mặt dây chuyền,,,,,
248.0,MDA2109,,Mặt dây chuyền,,,,,
249.0,MDA2110,,Mặt dây chuyền,,,,,
250.0,MDA2111,Hoa Bốn Cánh ,Mặt dây chuyền,,,,,
251.0,MDA2112,Blossom Flower,Mặt dây chuyền,,,,,
252.0,MDA2114,,Mặt dây chuyền,,,,,
253.0,MDA2117,Tiny Heart,Mặt dây chuyền,,,,,
254.0,MDA2118,,Mặt dây chuyền,,,,,
255.0,MDA2120,Vintage Retangle ,Mặt dây chuyền,,,,,
256.0,MDA2121,Vintage Star,Mặt dây chuyền,,,,,
257.0,MDA2122,Double Halo Cushion Shape,Mặt dây chuyền,,,,,
258.0,MDA2123,Mixing Double Halo ,Mặt dây chuyền,,,,,
259.0,MDA2124,,Mặt dây chuyền,,,,,
260.0,MDA2125,,Mặt dây chuyền,,,,,
261.0,MDA2126,Tournesol Bleu,Mặt dây chuyền,,,,,
262.0,MDA2127,White Camellia Pendant ,Mặt dây chuyền,,,,,
263.0,MDA2131,,Mặt dây chuyền,,,,,
264.0,MDA2132,,Mặt dây chuyền,,,,,
265.0,MDA2133,,Mặt dây chuyền,,,,,
266.0,MDA2134,,Mặt dây chuyền,,,,,
267.0,MDA2135,,Mặt dây chuyền,,,,,
268.0,MDA2136,,Mặt dây chuyền,,,,,
269.0,MDA2137,,Mặt dây chuyền,,,,,
270.0,MDA3102,,Mặt dây chuyền,,,,,
271.0,MDA3103,,Mặt dây chuyền,,,,,
272.0,MDA3105,,Mặt dây chuyền,,,,,
273.0,MDA4101,,Mặt dây chuyền,,,,,
274.0,MDA4102,,Mặt dây chuyền,,,,,
275.0,MDA4103,,Mặt dây chuyền,,,,,
276.0,MDA4104,,Mặt dây chuyền,,,,,
277.0,MDA5101,,Mặt dây chuyền,,,,,
278.0,MDA8110,,Mặt dây chuyền,,,,,
279.0,MDA8111,,Mặt dây chuyền,,,,,
280.0,MDA8115,Bowtie And Pear Cut,Mặt dây chuyền,,,,,
281.0,MDA8116,Fancy Shape ,Mặt dây chuyền,,,,,
282.0,MDA8117,The Flower ,Mặt dây chuyền,,,,,
283.0,MDA8118,Autumn Leaves,Mặt dây chuyền,,,,,
284.0,MDA8119,Glorious Emerald,Mặt dây chuyền,,,,,
285.0,MDA8120,Emerald Shape And Half Masquise Halo,Mặt dây chuyền,,,,,
286.0,MDA8121,Custom Cushion,Mặt dây chuyền,,,,,
287.0,MDA8122,Lotus Of Clear Moon,Mặt dây chuyền,,,,,
288.0,MDA8123,Stunning Flaze,Mặt dây chuyền,,,,,
289.0,MDA8124,White Camellia Necklace,Mặt dây chuyền,,,,,
290.0,MDA8125,,Mặt dây chuyền,,,,,
291.0,MDA8126,,Mặt dây chuyền,,,,,
292.0,MDA8127,,Mặt dây chuyền,,,,,
293.0,MDA8128,,Mặt dây chuyền,,,,,
294.0,MDA8129,,Mặt dây chuyền,,,,,
295.0,MDA8130,,Mặt dây chuyền,,,,,
296.0,MDA8136,,Mặt dây chuyền,,,,,
297.0,MDA8137,Love Of Swan,Mặt dây chuyền,,,,,
298.0,MDA8144,Sweet Heart Necklace,Mặt dây chuyền,,,,,
299.0,MDA8145,,Mặt dây chuyền,,,,,
300.0,MDA8147,Rosie Heart,Mặt dây chuyền, , ,,,
301.0,MDA8148,Heart Of Venus,Mặt dây chuyền, , ,,,
302.0,MDA8149,Tender Heart,Mặt dây chuyền, , ,,,
303.0,MDA8150,Dazzling Heart,Mặt dây chuyền, , ,,,
304.0,MDA8151,Adorable Heart,Mặt dây chuyền, , ,,,
305.0,NCC0001,,Nhẫn cưới,,M.18-F.8.5,,,
306.0,NCC0002,,Nhẫn cưới,,M.15-F.08,,,
307.0,NCC0003,,Nhẫn cưới,,M.18-F.08,,,
308.0,NCC0004,,Nhẫn cưới,,M.15-F.10,,,
309.0,NCC0005,,Nhẫn cưới,,M.16-F.11,,,
310.0,NCC0006,,Nhẫn cưới,,M.15-F.09,,,
311.0,NCC0007,,Nhẫn cưới,,M.15-F.15,,,
312.0,NCC0008,,Nhẫn cưới,,M.15-F.09,,,
313.0,NCC0009,,Nhẫn cưới,,M.15-F.09,,,
314.0,NCC0010,,Nhẫn cưới,,M.15-F.09,,,
315.0,NCC0011,,Nhẫn cưới,,M.19-F.10.5,,,
316.0,NCC0012,,Nhẫn cưới,,M.10-F.05,,,
317.0,NCC0013,,Nhẫn cưới,,"M.16,5-F.11",,,
318.0,NCC0016,,Nhẫn cưới,,M.15-F.10,,,
319.0,NCC0017,,Nhẫn cưới,,M.18-F.11,,,
320.0,NCC0018,,Nhẫn cưới,,M.16-F.11,,,
321.0,NCC0022,,Nhẫn cưới,,M.16-F.11,,,
322.0,NCC0024,,Nhẫn cưới,,M.17-F.11,,,
323.0,NCC0027,,Nhẫn cưới,,M.13-F.10,,,
324.0,NCC0029,Twisted Love,Nhẫn cưới,,M.15-F.9,,,
325.0,NCC0036,,Nhẫn cưới,,M.19.5-F.12,,,
326.0,NCC0040,,Nhẫn cưới,,M.19-F.12,,,
327.0,NCC0041,,Nhẫn cưới,,M.16-F.11,,,
328.0,NCC0042,Petal of Joy,Nhẫn cưới,,"M.18,5-F.12",,,
329.0,NCC0043,Petal of Joy,Nhẫn cưới,,M.18-F.12,,,
330.0,NCC0044,Petal of Love,Nhẫn cưới,,M.18-F.11,,,
331.0,NCC0045,Petal of Love,Nhẫn cưới,,M.18-F.11,,,
332.0,NCC0046,Petal of Happiness,Nhẫn cưới,,M.18-F.11,,,
333.0,BNC1012,,Nhẫn cưới,,M.19-F.11,,,
334.0,NCC1003,,Nhẫn cưới,,M.20-F.11,,,
335.0,BNC1004,,Nhẫn cưới,,M.21-F.11,,,
336.0,NCC1005,,Nhẫn cưới,,M.18.5-F.16.5,,,
337.0,BNC1006,,Nhẫn cưới,,M.19-F.10.5,,,
338.0,NCC1007,,Nhẫn cưới,,M.20-F.10,,,
339.0,NCC1008,,Nhẫn cưới,,M.15-F.09,,,
340.0,NCC1009,,Nhẫn cưới,,M.16-F.08,,,
341.0,NCC1010,,Nhẫn cưới,,M.14-F.10,,,
342.0,NCC1011,,Nhẫn cưới,,M.22-F.10.5,,,
343.0,NCC1012,,Nhẫn cưới,,M.18-F.11,,,
344.0,NCC1013,,Nhẫn cưới,,M.18-F.10,,,
345.0,NCC1014,,Nhẫn cưới,,M.17-F.08,,,
346.0,NCC1015,,Nhẫn cưới,,M.17-F.08,,,
347.0,NCC1016,,Nhẫn cưới,,M.17-F.08,,,
348.0,BNC1017,,Nhẫn cưới,,M.17-F.08,,,
349.0,NCC1018,,Nhẫn cưới,,M.16-F.09,,,
350.0,NCC1019,,Nhẫn cưới,,M.22-F.12,,,
351.0,NCC1020,,Nhẫn cưới,,M.17-F.08,,,
352.0,NCC1021,,Nhẫn cưới,,M.16-F.08,,,
353.0,NCC1022,,Nhẫn cưới,,M.16-F.08,,,
354.0,NCC1023,,Nhẫn cưới,,M.18-F.08,,,
355.0,BNC1024,,Nhẫn cưới,,M.17-F.10,,,
356.0,NCC1025,,Nhẫn cưới,,M.17-F.11,,,
357.0,NCC1027,,Nhẫn cưới,,M.16-F.11,,,
358.0,NCC1028,,Nhẫn cưới,,M.17-F.11,,,
359.0,NCC1033,,Nhẫn cưới,,M.15-F.09,,,
360.0,NCC1036,,Nhẫn cưới,,"M.18,5-F.11",,,
361.0,NCC1037,,Nhẫn cưới,,M.18-F.10,,,
362.0,NCC1038,,Nhẫn cưới,,M.15-F.10,,,
363.0,NCC1039,,Nhẫn cưới,,M.14-F.10,,,
364.0,NCC1040,,Nhẫn cưới,,M.14-F.11,,,
365.0,NCC1041,,Nhẫn cưới,,M.13-F.09,,,
366.0,NCC1042,,Nhẫn cưới,,M.16-F.11,,,
367.0,NCC1043,,Nhẫn cưới,,M.19-F.11,,,
368.0,NCC1044,,Nhẫn cưới,,M.19-F.11,,,
369.0,NCC1046,,Nhẫn cưới,,M.19-F.11,,,
370.0,NCC1047,,Nhẫn cưới,,M.19-F.10,,,
371.0,NCC1048,,Nhẫn cưới,,M.19-F.10,,,
372.0,NCC2001,,Nhẫn cưới,,M.16-F.08,,,
373.0,NCC2002,,Nhẫn cưới,,M.12-F.09,,,
374.0,NCC2003,,Nhẫn cưới,,M.18-F.11,,,
375.0,NCC2004,,Nhẫn cưới,,M.24-F.12,,,
376.0,NCC2005,,Nhẫn cưới,,M.18-F.12,,,
377.0,NCC2006,,Nhẫn cưới,,M.20-F.10,,,
378.0,NCC2007,,Nhẫn cưới,,M.18-F.11,,,
379.0,NCC2008,,Nhẫn cưới,,M.16-F.10,,,
